type : 30, d : 140, weight = 0.500000, result = 13
type : 30, d : 340, weight = 0.500000, result = 13
type : 30, d : 180, weight = 0.500000, result = 72
type : 30, d : 160, weight = 0.500000, result = 14
type : 25, d : 380, weight = 0.500000, result = 6
type : 30, d : 300, weight = 0.500000, result = 9
type : 30, d : 200, weight = 0.500000, result = 3
type : 30, d : 280, weight = 0.500000, result = 13
type : 25, d : 0, weight = 0.500000, result = 8
type : 30, d : 40, weight = 0.500000, result = 10
type : 30, d : 240, weight = 0.500000, result = 12
type : 30, d : 220, weight = 0.500000, result = 8
type : 30, d : 120, weight = 0.500000, result = 8
type : 25, d : 440, weight = 0.500000, result = 7
type : 25, d : 120, weight = 0.500000, result = 9
type : 25, d : 480, weight = 0.500000, result = 14
type : 25, d : 220, weight = 0.500000, result = 9
type : 25, d : 140, weight = 0.500000, result = 8
type : 25, d : 240, weight = 0.500000, result = 8
type : 25, d : 180, weight = 0.500000, result = 183
type : 25, d : 40, weight = 0.500000, result = 9
type : 25, d : 320, weight = 0.500000, result = 8
type : 25, d : 160, weight = 0.500000, result = 17
type : 25, d : 21, weight = 0.250000, result = 8
type : 25, d : 61, weight = 0.250000, result = 9
type : 25, d : 101, weight = 0.250000, result = 6
type : 25, d : 341, weight = 0.250000, result = 14
type : 25, d : 401, weight = 0.250000, result = 11
type : 35, d : 441, weight = 0.250000, result = 15
type : 35, d : 301, weight = 0.250000, result = 10
type : 25, d : 261, weight = 0.250000, result = 14
type : 35, d : 421, weight = 0.250000, result = 7
type : 35, d : 461, weight = 0.250000, result = 7
type : 35, d : 261, weight = 0.250000, result = 16
type : 35, d : 381, weight = 0.250000, result = 5
type : 25, d : 461, weight = 0.250000, result = 5
type : 35, d : 361, weight = 0.250000, result = 6
type : 25, d : 301, weight = 0.250000, result = 12
type : 30, d : 1, weight = 0.250000, result = 11
type : 35, d : 481, weight = 0.250000, result = 9
type : 35, d : 321, weight = 0.250000, result = 9
type : 35, d : 241, weight = 0.250000, result = 13
type : 30, d : 81, weight = 0.250000, result = 11
type : 30, d : 21, weight = 0.250000, result = 16
type : 35, d : 181, weight = 0.250000, result = 14
type : 35, d : 101, weight = 0.250000, result = 11
type : 35, d : 341, weight = 0.250000, result = 8
type : 35, d : 81, weight = 0.250000, result = 10
type : 35, d : 141, weight = 0.250000, result = 11
type : 35, d : 161, weight = 0.250000, result = 7
type : 35, d : 401, weight = 0.250000, result = 10
type : 25, d : 421, weight = 0.250000, result = 11
type : 35, d : 221, weight = 0.250000, result = 12
type : 25, d : 361, weight = 0.250000, result = 15
type : 25, d : 201, weight = 0.250000, result = 11
type : 35, d : 61, weight = 0.250000, result = 9
type : 35, d : 1, weight = 0.250000, result = 15
type : 35, d : 121, weight = 0.250000, result = 12
type : 30, d : 141, weight = 0.250000, result = 9
type : 35, d : 201, weight = 0.250000, result = 10
type : 30, d : 201, weight = 0.250000, result = 11
type : 25, d : 281, weight = 0.250000, result = 11
type : 35, d : 281, weight = 0.250000, result = 17
type : 30, d : 101, weight = 0.250000, result = 14
type : 25, d : 81, weight = 0.250000, result = 9
type : 30, d : 321, weight = 0.250000, result = 12
type : 35, d : 41, weight = 0.250000, result = 9
type : 30, d : 361, weight = 0.250000, result = 26
type : 35, d : 21, weight = 0.250000, result = 18
type : 30, d : 61, weight = 0.250000, result = 36
type : 30, d : 481, weight = 0.250000, result = 16
type : 30, d : 161, weight = 0.250000, result = 7
type : 30, d : 181, weight = 0.250000, result = 8
type : 30, d : 421, weight = 0.250000, result = 11
type : 30, d : 461, weight = 0.250000, result = 11
type : 30, d : 401, weight = 0.250000, result = 19
type : 30, d : 441, weight = 0.250000, result = 9
type : 30, d : 381, weight = 0.250000, result = 11
type : 30, d : 341, weight = 0.250000, result = 14
type : 30, d : 221, weight = 0.250000, result = 11
type : 25, d : 381, weight = 0.250000, result = 11
type : 30, d : 281, weight = 0.250000, result = 13
type : 30, d : 261, weight = 0.250000, result = 9
type : 30, d : 301, weight = 0.250000, result = 13
type : 30, d : 121, weight = 0.250000, result = 12
type : 25, d : 441, weight = 0.250000, result = 5
type : 30, d : 241, weight = 0.250000, result = 9
type : 25, d : 1, weight = 0.250000, result = 7
type : 30, d : 41, weight = 0.250000, result = 15
type : 25, d : 481, weight = 0.250000, result = 14
type : 25, d : 121, weight = 0.250000, result = 5
type : 25, d : 221, weight = 0.250000, result = 8
type : 25, d : 241, weight = 0.250000, result = 8
type : 25, d : 41, weight = 0.250000, result = 11
type : 25, d : 181, weight = 0.250000, result = 11
type : 25, d : 141, weight = 0.250000, result = 15
type : 25, d : 321, weight = 0.250000, result = 12
type : 25, d : 161, weight = 0.250000, result = 7
type : 25, d : 21, weight = 0.375000, result = 8
type : 25, d : 61, weight = 0.375000, result = 11
type : 25, d : 101, weight = 0.375000, result = 7
type : 25, d : 341, weight = 0.375000, result = 16
type : 25, d : 401, weight = 0.375000, result = 3
type : 25, d : 261, weight = 0.375000, result = 10
type : 35, d : 461, weight = 0.375000, result = 15
type : 30, d : 1, weight = 0.375000, result = 11
type : 35, d : 421, weight = 0.375000, result = 5
type : 35, d : 381, weight = 0.375000, result = 7
type : 25, d : 461, weight = 0.375000, result = 10
type : 30, d : 81, weight = 0.375000, result = 13
type : 35, d : 441, weight = 0.375000, result = 6
type : 35, d : 481, weight = 0.375000, result = 18
type : 35, d : 301, weight = 0.375000, result = 9
type : 25, d : 301, weight = 0.375000, result = 6
type : 30, d : 21, weight = 0.375000, result = 6
type : 35, d : 321, weight = 0.375000, result = 8
type : 35, d : 361, weight = 0.375000, result = 7
type : 30, d : 201, weight = 0.375000, result = 12
type : 30, d : 141, weight = 0.375000, result = 10
type : 35, d : 241, weight = 0.375000, result = 13
type : 35, d : 261, weight = 0.375000, result = 18
type : 30, d : 321, weight = 0.375000, result = 12
type : 35, d : 181, weight = 0.375000, result = 11
type : 25, d : 421, weight = 0.375000, result = 5
type : 35, d : 341, weight = 0.375000, result = 8
type : 30, d : 361, weight = 0.375000, result = 49
type : 35, d : 141, weight = 0.375000, result = 5
type : 35, d : 121, weight = 0.375000, result = 9
type : 35, d : 101, weight = 0.375000, result = 13
type : 35, d : 161, weight = 0.375000, result = 10
type : 35, d : 81, weight = 0.375000, result = 12
type : 25, d : 201, weight = 0.375000, result = 5
type : 35, d : 221, weight = 0.375000, result = 9
type : 25, d : 361, weight = 0.375000, result = 8
type : 30, d : 421, weight = 0.375000, result = 12
type : 35, d : 1, weight = 0.375000, result = 10
type : 35, d : 401, weight = 0.375000, result = 8
type : 30, d : 481, weight = 0.375000, result = 10
type : 35, d : 281, weight = 0.375000, result = 15
type : 35, d : 61, weight = 0.375000, result = 7
type : 30, d : 101, weight = 0.375000, result = 14
type : 35, d : 21, weight = 0.375000, result = 21
type : 25, d : 281, weight = 0.375000, result = 8
type : 30, d : 461, weight = 0.375000, result = 8
type : 35, d : 201, weight = 0.375000, result = 14
type : 35, d : 41, weight = 0.375000, result = 12
type : 30, d : 61, weight = 0.375000, result = 42
type : 25, d : 81, weight = 0.375000, result = 13
type : 30, d : 161, weight = 0.375000, result = 13
type : 30, d : 181, weight = 0.375000, result = 10
type : 30, d : 441, weight = 0.375000, result = 9
type : 30, d : 401, weight = 0.375000, result = 9
type : 30, d : 341, weight = 0.375000, result = 12
type : 30, d : 221, weight = 0.375000, result = 9
type : 25, d : 381, weight = 0.375000, result = 11
type : 30, d : 121, weight = 0.375000, result = 8
type : 30, d : 281, weight = 0.375000, result = 12
type : 30, d : 381, weight = 0.375000, result = 5
type : 30, d : 301, weight = 0.375000, result = 5
type : 30, d : 261, weight = 0.375000, result = 8
type : 30, d : 241, weight = 0.375000, result = 9
type : 25, d : 441, weight = 0.375000, result = 12
type : 30, d : 41, weight = 0.375000, result = 8
type : 25, d : 1, weight = 0.375000, result = 9
type : 25, d : 481, weight = 0.375000, result = 7
type : 25, d : 121, weight = 0.375000, result = 9
type : 25, d : 221, weight = 0.375000, result = 9
type : 25, d : 241, weight = 0.375000, result = 10
type : 25, d : 41, weight = 0.375000, result = 8
type : 25, d : 181, weight = 0.375000, result = 15
type : 25, d : 161, weight = 0.375000, result = 10
type : 25, d : 141, weight = 0.375000, result = 6
type : 25, d : 321, weight = 0.375000, result = 7
type : 25, d : 21, weight = 0.500000, result = 7
type : 25, d : 61, weight = 0.500000, result = 7
type : 25, d : 101, weight = 0.500000, result = 8
type : 25, d : 341, weight = 0.500000, result = 13
type : 25, d : 401, weight = 0.500000, result = 7
type : 25, d : 261, weight = 0.500000, result = 4
type : 30, d : 1, weight = 0.500000, result = 10
type : 30, d : 81, weight = 0.500000, result = 6
type : 35, d : 461, weight = 0.500000, result = 5
type : 25, d : 461, weight = 0.500000, result = 5
type : 30, d : 201, weight = 0.500000, result = 8
type : 35, d : 421, weight = 0.500000, result = 5
type : 30, d : 21, weight = 0.500000, result = 7
type : 35, d : 141, weight = 0.500000, result = 2
type : 30, d : 321, weight = 0.500000, result = 9
type : 35, d : 121, weight = 0.500000, result = 11
type : 30, d : 141, weight = 0.500000, result = 9
type : 35, d : 181, weight = 0.500000, result = 9
type : 35, d : 441, weight = 0.500000, result = 3
type : 35, d : 381, weight = 0.500000, result = 4
type : 25, d : 301, weight = 0.500000, result = 9
type : 35, d : 481, weight = 0.500000, result = 10
type : 30, d : 361, weight = 0.500000, result = 65
type : 35, d : 301, weight = 0.500000, result = 10
type : 35, d : 361, weight = 0.500000, result = 6
type : 30, d : 421, weight = 0.500000, result = 9
type : 35, d : 21, weight = 0.500000, result = 31
type : 35, d : 241, weight = 0.500000, result = 15
type : 30, d : 481, weight = 0.500000, result = 12
type : 35, d : 321, weight = 0.500000, result = 14
type : 25, d : 421, weight = 0.500000, result = 8
type : 35, d : 341, weight = 0.500000, result = 9
type : 35, d : 261, weight = 0.500000, result = 22
type : 35, d : 61, weight = 0.500000, result = 9
type : 35, d : 1, weight = 0.500000, result = 7
type : 35, d : 101, weight = 0.500000, result = 4
type : 30, d : 461, weight = 0.500000, result = 11
type : 35, d : 161, weight = 0.500000, result = 13
type : 35, d : 81, weight = 0.500000, result = 11
type : 25, d : 201, weight = 0.500000, result = 7
type : 35, d : 281, weight = 0.500000, result = 24
type : 35, d : 221, weight = 0.500000, result = 9
type : 35, d : 201, weight = 0.500000, result = 8
type : 30, d : 101, weight = 0.500000, result = 7
type : 25, d : 361, weight = 0.500000, result = 8
type : 35, d : 401, weight = 0.500000, result = 12
type : 30, d : 161, weight = 0.500000, result = 7
type : 35, d : 41, weight = 0.500000, result = 5
type : 25, d : 281, weight = 0.500000, result = 10
type : 30, d : 61, weight = 0.500000, result = 73
type : 25, d : 81, weight = 0.500000, result = 7
type : 30, d : 181, weight = 0.500000, result = 3
type : 30, d : 441, weight = 0.500000, result = 5
type : 30, d : 401, weight = 0.500000, result = 5
type : 30, d : 221, weight = 0.500000, result = 8
type : 30, d : 121, weight = 0.500000, result = 5
type : 30, d : 341, weight = 0.500000, result = 10
type : 25, d : 381, weight = 0.500000, result = 9
type : 30, d : 301, weight = 0.500000, result = 5
type : 30, d : 381, weight = 0.500000, result = 6
type : 30, d : 281, weight = 0.500000, result = 15
type : 30, d : 261, weight = 0.500000, result = 10
type : 30, d : 241, weight = 0.500000, result = 7
type : 25, d : 441, weight = 0.500000, result = 10
type : 30, d : 41, weight = 0.500000, result = 7
type : 25, d : 481, weight = 0.500000, result = 7
type : 25, d : 121, weight = 0.500000, result = 5
type : 25, d : 1, weight = 0.500000, result = 8
type : 25, d : 221, weight = 0.500000, result = 8
type : 25, d : 241, weight = 0.500000, result = 7
type : 25, d : 41, weight = 0.500000, result = 7
type : 25, d : 161, weight = 0.500000, result = 4
type : 25, d : 141, weight = 0.500000, result = 8
type : 25, d : 181, weight = 0.500000, result = 10
type : 25, d : 321, weight = 0.500000, result = 15
type : 25, d : 22, weight = 0.250000, result = 9
type : 25, d : 342, weight = 0.250000, result = 12
type : 30, d : 82, weight = 0.250000, result = 9
type : 25, d : 62, weight = 0.250000, result = 9
type : 25, d : 102, weight = 0.250000, result = 14
type : 30, d : 2, weight = 0.250000, result = 11
type : 35, d : 142, weight = 0.250000, result = 23
type : 25, d : 402, weight = 0.250000, result = 12
type : 35, d : 122, weight = 0.250000, result = 11
type : 35, d : 182, weight = 0.250000, result = 16
type : 25, d : 262, weight = 0.250000, result = 7
type : 25, d : 462, weight = 0.250000, result = 13
type : 35, d : 462, weight = 0.250000, result = 8
type : 30, d : 202, weight = 0.250000, result = 13
type : 30, d : 322, weight = 0.250000, result = 12
type : 35, d : 242, weight = 0.250000, result = 16
type : 30, d : 22, weight = 0.250000, result = 4
type : 30, d : 142, weight = 0.250000, result = 17
type : 30, d : 362, weight = 0.250000, result = 15
type : 35, d : 382, weight = 0.250000, result = 14
type : 30, d : 422, weight = 0.250000, result = 11
type : 35, d : 22, weight = 0.250000, result = 13
type : 35, d : 422, weight = 0.250000, result = 18
type : 30, d : 482, weight = 0.250000, result = 14
type : 35, d : 262, weight = 0.250000, result = 15
type : 35, d : 362, weight = 0.250000, result = 16
type : 35, d : 482, weight = 0.250000, result = 17
type : 35, d : 282, weight = 0.250000, result = 7
type : 35, d : 442, weight = 0.250000, result = 15
type : 35, d : 202, weight = 0.250000, result = 10
type : 25, d : 302, weight = 0.250000, result = 8
type : 35, d : 322, weight = 0.250000, result = 9
type : 30, d : 462, weight = 0.250000, result = 7
type : 35, d : 62, weight = 0.250000, result = 17
type : 25, d : 422, weight = 0.250000, result = 9
type : 35, d : 302, weight = 0.250000, result = 6
type : 35, d : 2, weight = 0.250000, result = 9
type : 35, d : 102, weight = 0.250000, result = 18
type : 35, d : 342, weight = 0.250000, result = 18
type : 30, d : 102, weight = 0.250000, result = 11
type : 35, d : 222, weight = 0.250000, result = 13
type : 35, d : 82, weight = 0.250000, result = 12
type : 35, d : 162, weight = 0.250000, result = 13
type : 25, d : 362, weight = 0.250000, result = 17
type : 25, d : 202, weight = 0.250000, result = 14
type : 35, d : 402, weight = 0.250000, result = 14
type : 35, d : 42, weight = 0.250000, result = 14
type : 30, d : 162, weight = 0.250000, result = 18
type : 30, d : 62, weight = 0.250000, result = 7
type : 25, d : 282, weight = 0.250000, result = 10
type : 30, d : 442, weight = 0.250000, result = 10
type : 30, d : 182, weight = 0.250000, result = 8
type : 25, d : 82, weight = 0.250000, result = 11
type : 30, d : 222, weight = 0.250000, result = 9
type : 30, d : 402, weight = 0.250000, result = 14
type : 30, d : 122, weight = 0.250000, result = 13
type : 30, d : 342, weight = 0.250000, result = 14
type : 25, d : 382, weight = 0.250000, result = 15
type : 30, d : 382, weight = 0.250000, result = 5
type : 30, d : 302, weight = 0.250000, result = 4
type : 30, d : 242, weight = 0.250000, result = 11
type : 30, d : 282, weight = 0.250000, result = 8
type : 25, d : 442, weight = 0.250000, result = 12
type : 30, d : 262, weight = 0.250000, result = 10
type : 25, d : 482, weight = 0.250000, result = 20
type : 30, d : 42, weight = 0.250000, result = 15
type : 25, d : 2, weight = 0.250000, result = 84
type : 25, d : 122, weight = 0.250000, result = 16
type : 25, d : 222, weight = 0.250000, result = 7
type : 25, d : 242, weight = 0.250000, result = 10
type : 25, d : 142, weight = 0.250000, result = 12
type : 25, d : 42, weight = 0.250000, result = 16
type : 25, d : 162, weight = 0.250000, result = 11
type : 25, d : 322, weight = 0.250000, result = 17
type : 25, d : 182, weight = 0.250000, result = 108
type : 35, d : 182, weight = 0.375000, result = 9
type : 35, d : 142, weight = 0.375000, result = 23
type : 35, d : 462, weight = 0.375000, result = 14
type : 35, d : 122, weight = 0.375000, result = 14
type : 30, d : 82, weight = 0.375000, result = 10
type : 35, d : 242, weight = 0.375000, result = 9
type : 35, d : 382, weight = 0.375000, result = 6
type : 25, d : 342, weight = 0.375000, result = 9
type : 25, d : 22, weight = 0.375000, result = 10
type : 30, d : 2, weight = 0.375000, result = 7
type : 35, d : 22, weight = 0.375000, result = 16
type : 30, d : 422, weight = 0.375000, result = 14
type : 30, d : 322, weight = 0.375000, result = 12
type : 25, d : 62, weight = 0.375000, result = 10
type : 25, d : 102, weight = 0.375000, result = 6
type : 25, d : 402, weight = 0.375000, result = 12
type : 30, d : 142, weight = 0.375000, result = 11
type : 30, d : 22, weight = 0.375000, result = 11
type : 30, d : 202, weight = 0.375000, result = 7
type : 30, d : 362, weight = 0.375000, result = 9
type : 35, d : 282, weight = 0.375000, result = 10
type : 35, d : 202, weight = 0.375000, result = 14
type : 25, d : 462, weight = 0.375000, result = 7
type : 35, d : 262, weight = 0.375000, result = 5
type : 30, d : 482, weight = 0.375000, result = 12
type : 25, d : 262, weight = 0.375000, result = 2
type : 35, d : 422, weight = 0.375000, result = 11
type : 35, d : 362, weight = 0.375000, result = 6
type : 35, d : 62, weight = 0.375000, result = 12
type : 30, d : 462, weight = 0.375000, result = 12
type : 35, d : 322, weight = 0.375000, result = 9
type : 35, d : 482, weight = 0.375000, result = 15
type : 35, d : 442, weight = 0.375000, result = 18
type : 25, d : 302, weight = 0.375000, result = 12
type : 35, d : 2, weight = 0.375000, result = 7
type : 35, d : 102, weight = 0.375000, result = 19
type : 25, d : 422, weight = 0.375000, result = 10
type : 35, d : 302, weight = 0.375000, result = 10
type : 35, d : 222, weight = 0.375000, result = 11
type : 35, d : 82, weight = 0.375000, result = 6
type : 30, d : 102, weight = 0.375000, result = 4
type : 35, d : 162, weight = 0.375000, result = 6
type : 35, d : 342, weight = 0.375000, result = 21
type : 35, d : 402, weight = 0.375000, result = 15
type : 25, d : 362, weight = 0.375000, result = 6
type : 35, d : 42, weight = 0.375000, result = 8
type : 30, d : 162, weight = 0.375000, result = 12
type : 25, d : 202, weight = 0.375000, result = 9
type : 30, d : 62, weight = 0.375000, result = 8
type : 25, d : 282, weight = 0.375000, result = 9
type : 30, d : 442, weight = 0.375000, result = 8
type : 30, d : 182, weight = 0.375000, result = 10
type : 30, d : 222, weight = 0.375000, result = 12
type : 25, d : 82, weight = 0.375000, result = 4
type : 30, d : 402, weight = 0.375000, result = 14
type : 30, d : 122, weight = 0.375000, result = 12
type : 30, d : 342, weight = 0.375000, result = 3
type : 25, d : 382, weight = 0.375000, result = 9
